,Words,Frequency,Tags
316,brrt,20,NN
317,memories,20,NNS
318,without,19,IN
319,many,19,JJ
320,heard,19,NNS
321,were,19,VBD
322,lie,19,JJ
323,gone,19,VBN
324,n!ggas,19,RB
325,someone,19,NN
326,country,19,NN
327,n!gga,19,VBD
328,happening,19,VBG
329,type,18,NN
330,guess,18,NN
331,broke,18,VBD
332,fire,18,NN
333,car,18,NN
334,three,18,CD
335,close,18,NN
336,pullin',18,NN
337,mama,18,NN
338,hoes,18,NNS
339,though,18,IN
340,those,18,DT
341,stupid,18,JJ
342,five,18,CD
343,club,18,NN
344,daisies,18,NNS
345,cause,18,NN
346,does,18,VBZ
347,huh,18,VB
348,margarita,18,VB
349,extremo,18,JJ
350,streets,17,NNS
351,codeine,17,VBP
352,myself,17,PRP
353,thousand,17,CD
354,knew,17,VBD
355,another,17,DT
356,sunday,17,JJ
357,cup,17,NN
358,felt,17,VBD
359,tú,17,JJ
360,red,16,JJ
361,verse,16,NN
362,thinkin',16,NN
363,ones,16,NNS
364,front,16,VBP
365,next,16,JJ
366,middle,16,JJ
367,both,16,DT
368,free,16,JJ
369,road,16,NN
370,loud,16,NN
371,nah,16,JJ
372,buy,16,VB
373,sum'n,16,JJ
374,riding,15,VBG
375,dumb,15,JJ
376,city,15,NN
377,name,15,NN
378,hell,15,NN
379,different,15,JJ
380,well,15,RB
381,lost,15,VBN
382,nothing,15,NN
383,morning,15,NN
384,lights,15,NNS
385,sleep,15,VBP
386,beat,15,JJ
387,lean,15,JJ
388,between,15,IN
389,somebody,15,NN
390,everybody,15,NN
391,ring,15,VBG
392,dead,15,JJ
393,seen,15,VBN
394,stand,15,VBP
395,spend,15,VB
396,nasty,15,JJ
397,low,15,JJ
398,y,15,NN
399,sh!t,15,NN
400,savage,15,NN
401,strikers,15,NNS
402,trapped,15,VBD
403,mike,14,NN
404,jeans,14,NNPS
405,trust,14,NN
406,room,14,NN
407,street,14,NN
408,sayin',14,JJ
409,sippin',14,JJ
410,hurt,14,NN
411,sure,14,JJ
412,shouldn't,14,JJ
413,kind,14,NN
414,against,14,IN
415,bag,14,NN
416,girls,14,NNS
417,team,14,NN
418,body,14,NN
419,water,14,NN
420,sorry,14,JJ
421,hand,14,NN
