,Words,Frequency,Tags
1287,legs,4,NNS
1288,recipe,4,VBP
1289,reach,4,NN
1290,sometimes,4,RB
1291,midnight,4,VBD
1292,leather,4,JJR
1293,jacket,4,NN
1294,met,4,VBD
1295,sellin',4,JJ
1296,doors,4,NNS
1297,molly,4,RB
1298,suck,4,VBP
1299,nine,4,CD
1300,bored,4,VBN
1301,piped,4,VBD
1302,plastic,4,JJ
1303,puttin',4,NN
1304,rockin',4,NN
1305,vida,4,NN
1306,choo,4,NN
1307,medicine,4,NN
1308,evening,4,VBG
1309,nike,4,JJ
1310,mi,4,NN
1311,bussin',4,NN
1312,chop,4,NN
1313,app,4,VBP
1314,handle,4,JJ
1315,behavior,4,NN
1316,ros茅,4,NN
1317,b,4,NN
1318,frame,4,NN
1319,yuh,4,NN
1320,punches,4,NNS
1321,focused,4,VBD
1322,plus,4,CC
1323,jewels,4,NNS
1324,making,4,VBG
1325,deals,4,NNS
1326,commas,4,VB
1327,finally,4,RB
1328,unless,4,IN
1329,extortion,4,NN
1330,literally,4,RB
1331,hearin',4,JJ
1332,neighborhood,4,NN
1333,sunshine,4,NN
1334,loser,4,NN
1335,quitter,4,NN
1336,nose,4,JJ
1337,michael,4,JJ
1338,sons,4,NNS
1339,oh-woah,4,JJ
1340,flow,4,JJ
1341,period,4,NN
1342,mill',4,JJ
1343,fool,4,NN
1344,una,4,JJ
1345,picheo,4,NN
1346,quiero,4,NN
1347,decorate,3,NN
1348,foenem,3,NN
1349,hollows,3,NNS
1350,taught,3,VBD
1351,expensive,3,JJ
1352,knots,3,NNS
1353,grind,3,VBP
1354,breaks,3,JJ
1355,swervin',3,NN
1356,crash,3,NN
1357,popped,3,VBD
1358,surgery,3,NN
1359,singin',3,NN
1360,played,3,VBD
1361,garbage,3,NN
1362,atlanta,3,NN
1363,actin',3,NN
1364,slid,3,VBD
1365,steel,3,NN
1366,slums,3,NNS
1367,lotta,3,VBP
1368,million-dollar,3,JJ
1369,ecstasy,3,NN
1370,mountains,3,NNS
1371,bustdown,3,RP
1372,standin',3,NNS
1373,switched,3,VBD
1374,route,3,JJ
1375,'member,3,NNP
1376,extended,3,VBD
1377,post,3,NN
1378,twins,3,NNS
1379,point,3,VBP
1380,cried,3,VBN
1381,mark,3,NN
1382,paradise,3,NN
1383,state,3,NN
1384,leaning,3,VBG
1385,shoulda,3,JJ
1386,third,3,JJ
1387,pretend,3,NN
1388,seein',3,NN
1389,weed,3,VBD
1390,feds,3,NNS
1391,ye,3,JJ
1392,givenchy,3,JJ
1393,wine,3,NN
1394,earl,3,NN
1395,outfit,3,NN
1396,flick,3,NN
1397,froze,3,NN
1398,forgis,3,JJ
1399,jeep,3,NN
1400,bloody,3,NN
1401,answer,3,VB
1402,salty,3,NN
1403,sip,3,NN
1404,london,3,NN
1405,dirty,3,NN
1406,boat,3,NN
1407,rain,3,NN
1408,business,3,NN
1409,difference,3,NN
1410,ego,3,NN
1411,stone,3,NN
1412,appetite,3,JJ
1413,rodeo,3,NN
1414,stylish,3,JJ
1415,muscle,3,NN
1416,mag,3,VBD
1417,body-bagged,3,JJ
1418,dumpin',3,NN
1419,guys,3,NNS
1420,winnin',3,VBP
1421,cali',3,JJ
1422,trying,3,VBG
1423,hypnotized,3,JJ
1424,signs,3,NNS
1425,hearts,3,NNS
1426,grown,3,VBP
1427,empty,3,JJ
1428,fame,3,NN
1429,wonderin',3,NN
1430,sin,3,JJ
1431,figure,3,NN
1432,bondin',3,NN
1433,rainin',3,NN
1434,situation,3,NN
1435,hits,3,VBZ
1436,grey,3,JJ
1437,hungover,3,RB
1438,frown,3,JJ
1439,special,3,JJ
1440,fell,3,VBD
1441,words,3,NNS
1442,surface,3,NN
1443,troubled,3,VBD
1444,weather,3,NN
1445,hurting,3,NN
1446,kills,3,NNS
1447,worthless,3,JJ
1448,be',3,NN
1449,sides,3,NNS
1450,because,3,IN
1451,family,3,NN
1452,city's,3,NN
1453,judge,3,NN
1454,drowning,3,VBG
1455,winning,3,VBG
1456,wildcard,3,JJ
1457,lemons,3,NNS
1458,mix,3,VBP
1459,stops,3,JJ
1460,stars,3,NNS
1461,would’ve,3,VBP
1462,ooooh,3,JJ
1463,single,3,JJ
1464,act,3,NN
1465,calling,3,VBG
1466,upon,3,IN
1467,sea,3,NN
1468,great,3,JJ
1469,slippin',3,JJ
1470,bend,3,NN
1471,tail,3,NN
1472,headin',3,NN
1473,anywhere,3,RB
1474,freedom,3,RB
1475,two-thirty,3,JJ
1476,early,3,JJ
1477,visit,3,NN
1478,windy,3,NN
1479,kisses,3,NNS
1480,changed,3,VBD
1481,credit,3,NN
1482,women,3,NNS
1483,title,3,VBP
1484,tryin',3,JJ
1485,brought,3,JJ
1486,seasons,3,NNS
1487,dare,3,VBP
1488,understand,3,JJ
1489,laughing,3,VBG
1490,dear,3,JJ
1491,praying,3,VBG
1492,cuddle,3,JJ
1493,sheets,3,NNS
1494,church,3,VBP
1495,watched,3,JJ
1496,movie,3,NN
1497,stain,3,NN
1498,favorite,3,JJ
1499,pillow,3,NN
1500,knees,3,NNS
1501,thot,3,JJ
1502,page,3,NN
1503,cell,3,NN
1504,facetime,3,RB
1505,week,3,NN
1506,underachieving,3,JJ
1507,lover,3,RB
1508,spirit,3,JJ
1509,sit-downs,3,JJ
1510,tragedies,3,NNS
1511,struggles,3,VBZ
1512,sacrificed,3,VBN
1513,climbed,3,VBD
1514,bright,3,JJ
1515,faces,3,VBZ
1516,porch,3,NN
1517,years,3,NNS
1518,barely,3,RB
1519,moved,3,VBD
1520,pick,3,JJ
1521,solve,3,NN
1522,misery,3,NN
1523,company,3,NN
1524,lies,3,VBZ
1525,fcked,3,VBN
1526,traffic,3,NN
1527,hat,3,WP
1528,happen,3,VBZ
1529,chill,3,NN
1530,m's,3,NN
1531,countries,3,NNS
1532,saved,3,VBD
1533,chiefin',3,NN
1534,emotionally,3,RB
1535,bosses,3,VBZ
1536,wants,3,VBZ
1537,trips,3,NNS
1538,eye,3,NN
1539,clock,3,NN
1540,cops,3,NNS
1541,pressure,3,NN
1542,g,3,VBP
1543,soft,3,JJ
1544,ak,3,NNS
1545,spitter,3,VBP
1546,motherin',3,JJ
1547,stack,3,NN
1548,gangster,3,NN
1549,percent,3,NN
1550,sisters,3,NNS
1551,boot,3,VBP
1552,talkin’,3,NN
1553,bout,3,IN
1554,step,3,NN
1555,mafia,3,NN
1556,motor,3,NN
1557,trunk,3,NN
1558,tags,3,NNS
1559,lunch,3,NN
1560,creek,3,VBP
1561,crumb,3,JJ
1562,three-sixty,3,JJ
1563,freestylin',3,NN
1564,kush,3,NN
1565,lung,3,NN
1566,crocodile,3,NN
1567,burberry,3,NN
1568,high-priced,3,JJ
1569,drivin',3,NN
1570,model,3,NN
1571,field,3,NN
1572,rifle,3,NN
1573,leakin',3,JJ
1574,cancel,3,NN
1575,settle,3,VB
1576,snow,3,JJ
1577,bunnies,3,NNS
1578,brett,3,VBP
1579,favre,3,JJ
1580,carter,3,NN
1581,swang,3,NN
1582,everywhere,3,RB
1583,harmless,3,JJ
1584,tearing,3,VBG
1585,hardest,3,JJS
1586,inches,3,NNS
1587,finished,3,VBD
1588,ohh,3,RB
1589,leaving,3,VBG
1590,everybody's,3,JJ
1591,we've,3,NN
1592,mexico,3,NN
1593,present,3,JJ
1594,g-wagen,3,JJ
1595,baes,3,NN
1596,shoe,3,NN
1597,sweater,3,NN
1598,ol',3,NN
1599,tec,3,NN
1600,beans,3,NNS
1601,animal,3,JJ
1602,birkin,3,FW
1603,sparks,3,NNS
1604,wrecks,3,NNS
1605,wilder,3,VBP
1606,wildest,3,JJS
1607,anymore,3,RB
1608,track,3,NN
1609,glare,3,NN
1610,stairs,3,VBZ
1611,lovin',3,CC
1612,share,3,NN
1613,options,3,NNS
1614,avoid,3,VBP
1615,liquor,3,NN
1616,fiddles,3,NNS
1617,kentucky,3,VBP
1618,funky,3,JJ
1619,hangin',3,NN
1620,bluetick,3,NN
1621,hound,3,NN
1622,meant,3,VBD
1623,each,3,DT
1624,irrelevant,3,JJ
1625,sky'd,3,NN
1626,holy,3,NN
1627,jim,3,NN
1628,dean,3,NN
1629,panic,3,JJ
1630,quarantine,3,NN
1631,virgil,3,NN
1632,flew,3,VBD
1633,spain,3,NN
1634,domain,3,NN
1635,audemar'd,3,JJ
1636,backwood,3,NN
1637,draco,3,NN
1638,poor,3,JJ
1639,cute,3,NN
1640,baddest,3,JJS
1641,yc,3,NN
1642,snitch,3,NN
1643,ery,3,NN
1644,energy,3,NN
1645,psycho,3,NN
1646,here’s,3,NN
1647,cheers,3,NNS
1648,you‘re,3,VBP
1649,we’ve,3,JJ
1650,shakin',3,NN
1651,sorrow,3,NN
1652,floatin',3,NN
1653,dock,3,NN
1654,lays,3,NNS
1655,barefoot,3,VBP
1656,señorita,3,JJ
1657,hitting,3,VBG
1658,grass,3,NN
1659,kicking,3,VBG
1660,slangin',3,JJ
1661,knife,3,JJ
1662,shank,3,VBD
1663,kel-tec,3,JJ
1664,driveway,3,NN
1665,respect,3,NN
1666,accept,3,IN
1667,crodie,3,NN
1668,direct,3,JJ
1669,pockets,3,NNS
1670,throat,3,VBP
1671,wop,3,JJ
1672,sylvester,3,NN
1673,stallone,3,NN
1674,sprung,3,NN
1675,spring,3,NN
1676,raised,3,VBD
1677,sober,3,NNP
1678,superstar,3,NN
1679,porsche,3,NN
1680,righteous,3,JJ
1681,digest,3,JJS
1682,runneth,3,NN
1683,nightstand,3,NN
1684,damage,3,NN
1685,anxiety,3,NN
1686,planet,3,NN
1687,holes,3,NNS
1688,heart's,3,VBP
1689,whoa,3,JJ
1690,ritmo,3,NN
1691,ni,3,JJ
1692,dice,3,NN
1693,wuh,3,NN
1694,e',3,NN
1695,culpa,3,NN
1696,el,3,NN
1697,pa',3,NN
1698,con,3,NN
1699,styles,3,NNS
1700,flu,3,VBP
1701,keepin',3,VB
1702,"squee-squeeze""",3,JJ
1703,hooked,3,JJ
1704,rodman,3,NN
1705,murder,3,NN
1706,thang,3,NN
1707,psy,3,NN
1708,gutter,3,NN
1709,apartments,3,NNS
1710,surrounded,3,VBD
1711,lonelyi'm,3,RBR
1712,supalonely,3,RB
1713,remain,3,VBP
1714,foundation,3,JJ
1715,facing,3,VBG
1716,swat,3,JJ
1717,mojo,3,NN
1718,sucked,3,VBD
1719,wipe,3,JJ
1720,wood,3,NN
1721,rollie,3,NN
1722,swapped,3,VBD
1723,genie,3,NN
1724,stacks,3,NNS
1725,chinchilla,3,VBP
1726,beanie,3,JJ
1727,turbo,3,NN
1728,sequins,3,NNS
1729,buckles,3,NNS
1730,alyx,3,VBP
1731,crossbody,3,NN
1732,'rari,3,JJ
1733,sandals,3,NNS
1734,socket,3,VBP
1735,necklace,3,JJ
1736,pickin',3,NN
1737,hardly,3,RB
1738,thirsty,3,JJ
1739,sheesh,3,NN
1740,yung,3,NN
1741,joc,3,NN
1742,hesitatin',3,NN
1743,lounge,3,NN
1744,strawberries,3,NNS
1745,cursed,3,VBD
1746,amiris,3,JJ
1747,lamb',3,JJ
1748,grams,3,NNS
1749,ies,3,NNS
1750,timbs,3,VBP
1751,ls,3,JJ
1752,m,3,NN
1753,lames,3,VBZ
1754,braves,3,NNS
1755,pooh,3,JJ
1756,wearing,3,VBG
1757,uh-la-la,3,JJ
1758,“uh-uh-uh”,3,JJ
1759,ex,3,NN
1760,roo-oo-oom,3,NN
1761,antes,3,NNS
1762,tiene,3,VBP
1763,relapse,2,JJ
1764,rip,2,NN
1765,tweakin',2,NN
1766,stepped,2,VBD
1767,threat,2,NN
1768,beyond,2,IN
1769,northside,2,JJ
1770,blues,2,NNS
1771,excited,2,VBN
1772,shade,2,JJ
1773,test,2,NN
1774,blicky,2,NN
1775,raided,2,VBD
1776,retarded,2,JJ
1777,regardless,2,RB
1778,miami,2,JJ
1779,skis,2,NNS
1780,'cat,2,POS
1781,homies,2,NNS
1782,cappin',2,VBP
1783,lackin',2,JJ
1784,food,2,NN
1785,lyin',2,NN
1786,admit,2,NN
1787,shoulder,2,NN
1788,stealin',2,NN
1789,wrote,2,VBD
1790,rappers,2,NNS
1791,withdrawals,2,NNS
1792,color,2,NN
1793,must,2,MD
1794,suicide,2,VB
1795,sweep,2,NN
1796,plan,2,NN
1797,garage,2,VBP
1798,owe,2,JJ
1799,chest,2,NN
1800,hatin',2,NN
1801,blast,2,NN
1802,jets,2,NNS
1803,died,2,VBD
1804,survive,2,JJ
1805,skies,2,NNS
1806,reminisce,2,VBP
1807,happens,2,VBZ
1808,digital,2,JJ
1809,dizzy,2,NN
1810,insides,2,NNS
1811,meds,2,NNS
1812,ghetto,2,VBP
1813,duck,2,JJ
1814,pineapple,2,NN
1815,vegan,2,JJ
1816,dr,2,JJ
1817,fk,2,NN
1818,leanin',2,NN
1819,true,2,JJ
1820,blow,2,NN
1821,tom,2,NN
1822,dawgs,2,NNS
1823,fake,2,VBP
1824,sureski,2,JJ
1825,mustard,2,NN
1826,crip,2,NN
1827,struggle,2,NN
1828,serve,2,VBP
1829,frontin',2,NN
1830,ap,2,NN
1831,swerve,2,NN
1832,rolls,2,NNS
1833,royce,2,VBP
1834,brothers,2,NNS
1835,limit,2,VBP
1836,needs,2,NNS
1837,noise,2,JJ
1838,finish,2,JJ
1839,ground,2,NN
1840,chokin',2,NN
1841,upper,2,JJ
1842,aren't,2,NN
1843,screamin',2,NN
1844,nightmares,2,NNS
1845,ear,2,VBP
1846,karma,2,JJ
1847,drama,2,NN
1848,speedin',2,NN
1849,goofy,2,JJ
1850,obama,2,JJ
1851,presidential,2,JJ
1852,tint,2,NN
1853,tellin',2,NN
1854,position,2,NN
1855,glizzy,2,NN
1856,busy,2,JJ
1857,strong,2,JJ
1858,hotel,2,NN
1859,beautiful,2,JJ
1860,smilin',2,NN
1861,bein',2,NN
1862,worried,2,VBD
1863,commitment,2,JJ
1864,thoughts,2,NNS
1865,clue,2,NN
1866,occasion,2,NN
1867,needed,2,VBD
1868,heal,2,NN
1869,walls,2,NNS
1870,ago,2,RB
1871,yours,2,NNS
1872,ours,2,VBP
1873,motherfxcker,2,NN
1874,pr,2,NN
1875,one's,2,VBD
1876,clearly,2,RB
1877,keeper,2,JJ
1878,digging,2,NN
1879,confused,2,VBD
1880,till,2,NN
1881,centre,2,NN
1882,reflection,2,NN
1883,woulda,2,NN
1884,code,2,NN
1885,lingo,2,NN
1886,pornstar,2,NN
1887,boca,2,NN
1888,coming,2,VBG
1889,t-shirt,2,JJ
1890,flip,2,NN
1891,read,2,JJ
1892,access,2,NN
1893,sundress,2,NN
1894,leaking,2,VBG
1895,sang,2,NN
1896,pipe,2,JJ
1897,swimming,2,VBG
1898,i-i-i-i,2,JJ
1899,area,2,NN
1900,must've,2,NN
1901,grow,2,VBP
1902,drunk,2,NN
1903,j,2,NN
1904,gunnin',2,NN
1905,"""babe",2,NNP
1906,wherever,2,NN
1907,echoes,2,NNS
1908,"""oh",2,VBD
1909,ah-ah,2,JJ
1910,powfu,2,NN
1911,asleep,2,JJ
1912,future,2,NN
1913,has,2,VBZ
1914,hopin',2,VBN
1915,married,2,JJ
1916,blessings,2,NNS
1917,park,2,NN
1918,arms,2,NNS
1919,red-wine,2,JJ
1920,case,2,NN
1921,cure,2,NN
1922,slammed,2,VBD
1923,promise,2,JJ
1924,sturdy,2,JJ
1925,dick,2,NN
1926,throwin',2,NN
1927,bail,2,NN
1928,raisin',2,NN
1929,tnt,2,JJ
1930,direction,2,NN
1931,jail,2,NN
1932,beers,2,NNS
1933,speech,2,VBP
1934,blade,2,NN
1935,certain,2,JJ
1936,snakes,2,NNS
1937,venom,2,VBP
1938,fam,2,JJ
1939,boys,2,NNS
1940,"""goodbye""",2,VBP
1941,hahaha,2,JJ
1942,sitting,2,VBG
1943,seat,2,NN
1944,shooter,2,NN
1945,chair,2,NN
1946,shut,2,VBD
1947,biggest,2,JJS
1948,youngins,2,NNS
1949,voice,2,JJ
1950,lead,2,JJ
1951,toys,2,NNS
1952,harden,2,VBP
1953,anyone,2,NN
1954,"""as",2,NN
1955,"""they",2,NNP
1956,scream,2,NN
1957,instead,2,RB
1958,numb,2,JJ
1959,na,2,TO
1960,raider,2,VB
1961,skills,2,NNS
1962,dressed,2,VBN
1963,brown：,2,JJ
1964,pants,2,NNS
1965,rubber,2,VBP
1966,stare,2,JJ
1967,buyin',2,NN
1968,hotter,2,NN
1969,fcking,2,VBG
1970,speed,2,NN
1971,bowl,2,NN
1972,stunna,2,NN
1973,dad,2,NN
1974,advance,2,NN
1975,tuck,2,NN
1976,shop,2,NN
1977,bucket,2,NN
1978,thuggin',2,VBZ
1979,public,2,JJ
1980,bodies,2,NNS
1981,job,2,NN
1982,remix,2,VBP
1983,duckin',2,NN
1984,shotta,2,NN
1985,ugh,2,IN
1986,which,2,WDT
1987,consider,2,VBP
1988,mistake,2,NN
1989,ray,2,NN
1990,spray,2,NN
1991,flames,2,VBZ
1992,normal,2,JJ
1993,during,2,IN
1994,shines,2,NNS
1995,truckers,2,NNS
1996,villain,2,VBP
1997,blockbusters,2,NNS
1998,slick,2,VBP
1999,fifth,2,JJ
2000,trip,2,NN
2001,ink,2,NN
2002,richard,2,NN
2003,harry,2,NN
2004,carry,2,VBP
2005,column,2,NN
2006,evil,2,NN
2007,maid,2,NN
2008,rage,2,NN
2009,mentally,2,RB
2010,bee,2,JJ
2011,motherer,2,NN
2012,blick,2,NN
2013,thi,2,NN
2014,twin,2,NN
2015,mommy,2,NN
2016,bestie,2,NN
2017,sucker,2,NN
2018,dub-a,2,JJ
2019,as-salamu,2,JJ
2020,pump,2,NN
2021,mami,2,NN
2022,freebandz,2,JJ
2023,llama,2,NN
2024,whippin',2,NN
2025,number,2,NN
2026,shout,2,NN
2027,role,2,NN
2028,bill,2,NN
2029,platinum,2,VBZ
2030,coppin',2,JJ
2031,baguettes,2,NNS
2032,lambo',2,VBP
2033,it's-it's,2,JJ
2034,sister,2,NN
2035,smell,2,NN
2036,funny,2,VBZ
2037,almost,2,RB
2038,smart,2,JJ
2039,cruise,2,NN
2040,station,2,NN
2041,“i,2,NNP
2042,i’d,2,NN
2043,couch,2,JJ
2044,ceiling,2,NN
2045,that'll,2,NN
2046,thursday,2,NN
2047,york,2,NN
2048,cadillac,2,NN
2049,promo,2,NN
2050,atl,2,NN
2051,jacob,2,NN
2052,pocket,2,NN
2053,bang,2,VBD
2054,clean,2,JJ
2055,chanel,2,NN
2056,bros,2,NNS
2057,supposed,2,VBD
2058,ways,2,NNS
2059,shades,2,NNS
2060,secluded,2,VBD
2061,diluted,2,JJ
2062,superhuman,2,JJ
2063,gets,2,VBZ
2064,several,2,JJ
2065,date,2,NN
2066,somehow,2,NN
2067,wreck,2,NN
2068,tahj,2,NN
2069,wrapped,2,VBD
2070,rags,2,JJ
2071,riches,2,NNS
2072,sprite,2,VBP
2073,rare,2,JJ
2074,missin',2,NN
2075,junior,2,JJ
2076,lord,2,NN
2077,strings,2,NNS
2078,greats,2,NNS
2079,earthquake,2,NN
2080,figured,2,VBD
2081,button,2,NN
2082,dirt,2,NN
2083,reading,2,VBG
2084,toe,2,JJ
2085,triple,2,JJ
2086,refuse,2,NN
2087,second,2,JJ
2088,nope,2,NN
2089,toronto,2,IN
2090,blessing,2,VBG
2091,breath,2,NN
2092,lifetime,2,NN
2093,passed,2,VBD
2094,taxes,2,NNS
2095,nuts,2,NNS
2096,manor,2,RB
2097,rosewood,2,VBD
2098,plush,2,JJ
2099,givin',2,NN
2100,brick,2,NN
2101,lightin',2,NN
2102,tote,2,NN
2103,stretch,2,NN
2104,closet,2,NN
2105,neck,2,NN
2106,fact,2,NN
2107,loub',2,NN
2108,vui',2,NN
2109,hearse,2,NN
2110,cat,2,NN
2111,onto,2,IN
2112,fiend,2,JJ
2113,chasing,2,VBG
2114,mansion,2,NN
2115,woman,2,NN
2116,addicted,2,VBD
2117,fragrance,2,NN
2118,knowin',2,NN
2119,foul,2,JJ
2120,catchin',2,NN
2121,momma,2,NN
2122,there’s,2,NN
2123,habits,2,NNS
2124,kissing,2,VBG
2125,"it""",2,NN
2126,pin,2,NN
2127,wasted,2,VBD
2128,nights,2,NNS
2129,frozen,2,JJ
2130,tiki,2,NN
2131,bars,2,NNS
2132,tik'n,2,VBP
2133,pourin',2,NN
2134,pieces,2,NNS
2135,whitecaps,2,VBP
2136,breakin,2,JJ
2137,syrup,2,NN
2138,scamming,2,VBG
2139,checks,2,NNS
2140,scammer,2,NN
2141,chains,2,NNS
2142,bitches,2,NNS
2143,buddah,2,VBP
2144,bless,2,JJ
2145,bus,2,NN
2146,"""this",2,NNP
2147,"us""",2,NN
2148,drankin',2,NN
2149,cheatin',2,JJ
2150,tip,2,JJ
2151,private,2,JJ
2152,sideways,2,NNS
2153,metallic,2,JJ
2154,balance,2,NN
2155,hotbox,2,NN
2156,pi'erre,2,NN
2157,planned,2,VBD
2158,greased,2,VBN
2159,east,2,RB
2160,often,2,RB
2161,nothing's,2,JJ
2162,disturbin',2,NNS
2163,hypnotize,2,JJ
2164,month,2,NN
2165,silly,2,RB
2166,dj,2,JJ
2167,spider,2,JJR
2168,g-wag,2,JJ
2169,icy,2,NN
2170,drug,2,NN
2171,coughing,2,VBG
2172,"""we",2,NNP
2173,suspect,2,JJ
2174,pound,2,NN
2175,oh-ooh,2,JJ
2176,glow,2,NN
2177,pill,2,NN
2178,gym,2,VBZ
2179,luzco,2,JJ
2180,rosalía,2,NN
2181,sé,2,NN
2182,si,2,NN
2183,voy,2,NN
2184,pac,2,NN
2185,seth,2,VBD
2186,guaranteed,2,VBN
2187,mop,2,NNS
2188,twelve,2,VBP
2189,solo,2,JJ
2190,screaming,2,VBG
2191,dolo,2,NN
2192,pablo,2,NN
2193,photo,2,NN
2194,tony,2,NN
2195,manolo,2,NN
2196,popping,2,VBG
2197,flexing,2,VBG
2198,aerobics,2,NNS
2199,ballingthat,2,IN
2200,waters,2,NNS
2201,rawthis,2,VBP
2202,attitude,2,JJ
2203,hips,2,NNS
2204,onlyfans,2,NNS
2205,cheek,2,VBP
2206,texas,2,NN
2207,hyped,2,VBN
2208,price,2,NN
2209,"jeans""",2,NN
2210,mirror,2,NN
2211,"""",2,NNP
2212,knot,2,NN
2213,simon,2,NN
2214,twerk,2,NN
2215,stirred,2,VBD
2216,prolly,2,RB
2217,yah,2,JJ
2218,loop,2,NN
2219,wheel,2,NN
2220,squad,2,NN
2221,floodin',2,JJ
2222,spots,2,NNS
2223,stayin',2,VBP
2224,envy,2,JJ
2225,slip,2,NN
2226,falls,2,VBZ
2227,uh-huh,2,JJ
2228,stress,2,NN
2229,flyin',2,NN
2230,picked,2,VBD
2231,scotts,2,JJ
2232,scouts,2,NNS
2233,drought,2,JJ
2234,cleveland,2,NN
2235,eatin',2,NN
2236,glove,2,VBP
2237,thriller,2,NN
2238,satisfaction,2,NN
2239,rose,2,VBD
2240,shaky,2,JJ
2241,stuffed,2,JJ
2242,rope,2,NN
2243,andre,2,NN
2244,giant,2,JJ
2245,magazine,2,NN
2246,largest,2,JJS
2247,charges,2,NNS
2248,flawless,2,VBP
2249,bargainin',2,RB
2250,marvelous,2,JJ
2251,rolex,2,JJ
2252,teezy,2,NN
2253,um,2,JJ
2254,slime,2,NN
2255,mumps,2,NNS
2256,haiti,2,VBP
2257,famous,2,JJ
2258,steps,2,NNS
2259,millionaires,2,NNS
2260,trillionaire,2,VBP
2261,represent,2,JJ
2262,warm,2,NN
2263,grave,2,NN
2264,cake,2,VBP
2265,barber,2,NN
2266,fade,2,NN
2267,stalk,2,NN
2268,grrt,2,NN
2269,prayin',2,NN
2270,tastes,2,NNS
2271,belly,2,RB
2272,revive,2,VBP
2273,jetson,2,NN
2274,stockton,2,NN
2275,joshin',2,NN
2276,holiday,2,NN
2277,toxins,2,VBZ
2278,sportscenter,2,JJ
2279,goddamn,2,NN
2280,'gram,2,CD
2281,sharing,2,NN
2282,facts,2,NNS
2283,jackin',2,VBP
2284,bailando,2,JJ
2285,“boy,2,JJ
2286,tonight”,2,NN
2287,uh-uh-uh,2,JJ
2288,caliente,2,NN
2289,contigo,2,NN
2290,tranqui,2,IN
2291,hmm-hmm,2,JJ
2292,le,2,NN
2293,¡wuh!,2,NNP
2294,amor,2,NN
2295,está,2,NN
2296,pone,2,NN
2297,"""papi""",2,NNP
2298,papi,2,NN
2299,sí,2,NN
2300,'tá,2,POS
2301,bien,2,NN
2302,dura,2,NN
2303,natti,2,JJ
2304,aah,2,NN
2305,vamo',2,NN
2306,perrear,2,VBP
2307,corta,2,JJ
2308,﻿,1,NNP
2309,e-way,1,NN
2310,percs,1,NN
2311,recruits,1,VBZ
2312,troops,1,NNS
2313,savages,1,NNS
2314,hollow,1,VBP
2315,tips,1,NNS
2316,lungs,1,NNS
2317,kendrick,1,VBP
2318,nunn,1,JJ
2319,twenty-one,1,JJ
2320,bomb,1,NN
2321,complacent,1,NN
2322,usually,1,RB
2323,complex,1,JJ
2324,contest,1,NN
2325,compact,1,NN
2326,vietnam,1,NN
2327,brains,1,VBZ
2328,ooze,1,JJ
2329,goons,1,NNS
2330,losses,1,NNS
2331,became,1,VBD
2332,moods,1,NNS
2333,mention,1,NN
2334,awful,1,JJ
2335,mongoose,1,JJ
2336,twenty-five,1,JJ
2337,chauffeur,1,NN
2338,paranoid,1,NN
2339,paul,1,NN
2340,suburbans,1,VBZ
2341,fentanyl,1,JJ
2342,zombieland,1,NN
2343,junkies,1,NNS
2344,missed,1,VBD
2345,slap,1,RB
2346,honestly,1,RB
2347,monopoly,1,JJ
2348,usin',1,JJ
2349,lottery,1,NN
2350,ambulance,1,NN
2351,choreography,1,NN
2352,three-car,1,NN
2353,apology,1,NN
2354,ayo,1,NN
2355,chiraq,1,NN
2356,tecs,1,NN
2357,stretched,1,VBD
2358,headshots,1,NNS
2359,vest,1,JJS
2360,devastatin',1,NN
2361,homie,1,NN
2362,checked,1,VBD
2363,parents,1,NNS
2364,pressed,1,VBN
2365,path,1,NN
2366,chose,1,NN
2367,richer,1,JJR
2368,bathrooms,1,NNS
2369,twenty-two,1,JJ
2370,peoples,1,NNS
2371,victimized,1,VBN
2372,pent-up,1,JJ
2373,anger,1,NN
2374,blink,1,NN
2375,demise,1,NN
2376,shit'll,1,NN
2377,criticized,1,VBN
2378,visualize,1,JJ
2379,stories,1,NNS
2380,haunt,1,VBP
2381,l's,1,JJ
2382,pride,1,NN
2383,scored,1,VBD
2384,wesson,1,NN
2385,solidified,1,VBD
2386,rainbow,1,NN
2387,strawberry,1,NN
2388,lipstick,1,VBP
2389,brown,1,VBN
2390,skin,1,JJ
2391,lemon,1,JJ
2392,innocent,1,JJ
2393,resist,1,NN
2394,fine，through,1,IN
2395,sting,1,VBG
2396,sonny,1,JJ
2397,switchin',1,NN
2398,lanes,1,NNS
2399,curb,1,NN
2400,calm,1,NN
2401,nerves,1,NNS
2402,pumpin',1,VBP
2403,earn,1,JJ
2404,fail,1,NN
2405,meadows,1,NNS
2406,stilettos,1,VBP
2407,anytime,1,RB
2408,uzi,1,JJ
2409,vert,1,JJ
2410,brandon,1,NN
2411,hurl,1,NN
2412,nickname,1,JJ
2413,spend-it,1,JJ
2414,starlets,1,NNS
2415,yellowdol,1,VBP
2416,fenty,1,JJ
2417,riri,1,NN
2418,polo'd,1,IN
2419,three-piece,1,JJ
2420,meat,1,NN
2421,republics,1,NNS
2422,nga,1,JJ
2423,countin',1,NN
2424,lakes,1,NNS
2425,cream,1,VBP
2426,iif,1,JJ
2427,flavors,1,NNS
2428,arabian,1,JJ
2429,fixed,1,VBN
2430,visa,1,JJ
2431,roofs,1,NN
2432,suits,1,NNS
2433,cha-nay-nay,1,JJ
2434,ford,1,NN
2435,stripclub,1,NN
